depth,curve,curveName,UWI
445.500,50.852,GR,00/01-01-073-05W5/0
445.750,46.920,GR,00/01-01-073-05W5/0
446.000,45.340,GR,00/01-01-073-05W5/0
446.250,47.167,GR,00/01-01-073-05W5/0
446.500,50.791,GR,00/01-01-073-05W5/0
446.750,45.802,GR,00/01-01-073-05W5/0
447.000,43.232,GR,00/01-01-073-05W5/0
447.250,42.949,GR,00/01-01-073-05W5/0
447.500,44.849,GR,00/01-01-073-05W5/0
447.750,46.173,GR,00/01-01-073-05W5/0
448.000,48.809,GR,00/01-01-073-05W5/0
448.250,49.460,GR,00/01-01-073-05W5/0
448.500,45.832,GR,00/01-01-073-05W5/0
448.750,42.269,GR,00/01-01-073-05W5/0
449.000,45.215,GR,00/01-01-073-05W5/0
449.250,48.099,GR,00/01-01-073-05W5/0
449.500,46.578,GR,00/01-01-073-05W5/0
449.750,45.248,GR,00/01-01-073-05W5/0
450.000,44.846,GR,00/01-01-073-05W5/0
450.250,45.685,GR,00/01-01-073-05W5/0
450.500,46.086,GR,00/01-01-073-05W5/0
450.750,46.303,GR,00/01-01-073-05W5/0
451.000,46.644,GR,00/01-01-073-05W5/0
451.250,48.352,GR,00/01-01-073-05W5/0
451.500,47.699,GR,00/01-01-073-05W5/0
451.750,47.609,GR,00/01-01-073-05W5/0
452.000,48.760,GR,00/01-01-073-05W5/0
452.250,50.024,GR,00/01-01-073-05W5/0
452.500,51.852,GR,00/01-01-073-05W5/0
452.750,54.242,GR,00/01-01-073-05W5/0
453.000,58.736,GR,00/01-01-073-05W5/0
453.250,54.241,GR,00/01-01-073-05W5/0
453.500,51.606,GR,00/01-01-073-05W5/0
453.750,49.224,GR,00/01-01-073-05W5/0
454.000,47.391,GR,00/01-01-073-05W5/0
454.250,45.065,GR,00/01-01-073-05W5/0
454.500,46.835,GR,00/01-01-073-05W5/0
454.750,49.406,GR,00/01-01-073-05W5/0
455.000,50.865,GR,00/01-01-073-05W5/0
455.250,51.085,GR,00/01-01-073-05W5/0
455.500,51.553,GR,00/01-01-073-05W5/0
455.750,52.383,GR,00/01-01-073-05W5/0
456.000,53.221,GR,00/01-01-073-05W5/0
456.250,51.706,GR,00/01-01-073-05W5/0
456.500,50.682,GR,00/01-01-073-05W5/0
456.750,49.658,GR,00/01-01-073-05W5/0
457.000,55.952,GR,00/01-01-073-05W5/0
457.250,62.062,GR,00/01-01-073-05W5/0
457.500,68.664,GR,00/01-01-073-05W5/0
457.750,75.208,GR,00/01-01-073-05W5/0
458.000,79.208,GR,00/01-01-073-05W5/0
458.250,81.600,GR,00/01-01-073-05W5/0
458.500,82.555,GR,00/01-01-073-05W5/0
458.750,83.643,GR,00/01-01-073-05W5/0
459.000,81.132,GR,00/01-01-073-05W5/0
459.250,74.463,GR,00/01-01-073-05W5/0
459.500,68.481,GR,00/01-01-073-05W5/0
459.750,61.755,GR,00/01-01-073-05W5/0
460.000,56.699,GR,00/01-01-073-05W5/0
460.250,55.987,GR,00/01-01-073-05W5/0
460.500,56.453,GR,00/01-01-073-05W5/0
