well_name,hor_names,X,Y,Z,dZ,dZ_v0k,Delta-Z
BOZ-01,N,681789.0625,5886874.5,563.971313476562,1120.34301757812,1120.73474121093,0.3917236328099989
BOZ-01,CK,681796.25,5886890.0,1415.92797851562,575.969970703125,563.464965820312,-12.505004882812955
BRAK-01,N,641549.5625,5740991.5,425.989013671875,841.054992675781,851.200927734375,10.145935058593977
BRA-01,N,724241.9375,5899218.0,427.492889404296,848.736999511718,855.283447265625,6.546447753907046
BRA-01,CK,724155.5,5899177.0,1191.07946777343,669.284973144531,640.558654785156,-28.726318359375
BRA-01,ZE,723562.5625,5898872.5,2400.09594726562,863.765014648437,844.613403320312,-19.151611328125
BRG-01,N,620310.0,5879037.0,535.969970703125,983.06298828125,1001.43908691406,18.37609863281
BRG-01,CK,620310.0,5879037.0,1625.96997070312,1093.0,1055.62194824218,-37.37805175782
BRH-01,N,745135.375,5913312.0,429.995788574218,853.177001953125,853.951171875,0.774169921875
BRH-01,CK,745109.75,5913329.0,1252.87060546875,784.968994140625,739.494201660156,-45.47479248046898
BRH-01,ZE,745000.5,5913370.0,2307.85205078125,981.625,963.166381835937,-18.458618164062955
BRK-04,N,600506.1875,5756994.0,232.902282714843,269.245300292968,261.386077880859,-7.859222412109034
BRK-04,CK,600495.375,5757114.0,482.418579101562,47.3809814453125,48.7721977233886,1.3912162780761008
BRK-05,N,600510.6875,5756975.0,245.41259765625,419.10302734375,412.21826171875,-6.884765625
BRK-05,CK,600634.3125,5756808.0,490.833190917968,38.1950073242187,38.7567558288574,0.5617485046387003
BRK-05-S2,N,600510.6875,5756975.0,245.41259765625,419.10302734375,412.21826171875,-6.884765625
BRK-05-S2,CK,600634.3125,5756808.0,490.833190917968,38.1950073242187,38.7567558288574,0.5617485046387003
BRK-09,N,600530.875,5756959.0,239.412460327148,466.989013671875,469.55532836914,2.5663146972649997
BRK-09,CK,600683.375,5756889.0,491.048126220703,44.2579956054687,43.7044410705566,-0.5535545349121023
BRL-01-S1,N,698768.4375,5846850.5,523.127075195312,494.136505126953,456.370147705078,-37.766357421875
BRL-01-S1,CK,698791.3125,5846826.5,1327.60473632812,559.963989257812,551.195739746093,-8.768249511719091
BRL-01-S1,ZE,698784.8125,5846818.5,1725.32995605468,67.498046875,64.4798812866211,-3.0181655883789062
BRTZ-01,N,607056.8125,5744884.0,471.838745117187,275.9140625,248.749649047851,-27.164413452149006
