name,tournaments,played,won,wonLostPct
Karl Oskar Fridh,3,9,7,78
Dan Fridman,1,4,4,100
Teodor Friestad,1,3,1,33
Hanna Friis,1,2,1,50
Magnus Furuholt Frivold,4,9,2,22
Maren Furuholt Frivold,9,18,4,22
Ingvild Frøyen,2,4,0,0
Henning Frøystein,22,51,30,59
Njål Frøystein,4,11,6,55
Euan Fundingsland,1,2,1,50
Liam Fundingsland,5,13,3,23
Henrik Meidell Furnes,1,4,3,75
Magnus Furre,1,2,0,0
Mette Margrethe Furre,1,2,1,50
Christian Furre-Brantzeg,1,2,1,50
Dag Erik Fylkesnes,4,7,3,43
David Benjamin Fylkesnes,11,34,25,74
Fred Erik Fylkesnes,1,2,0,0
John Christopher Fylkesnes,7,22,15,68
Jorun Beate Fylkesnes,2,5,2,40
Fredrik Førsvoll,1,3,2,67
Jens Førsvoll,1,5,5,100
Alex Ganchev,1,2,1,50
Artur Garbiak,4,8,2,25
Victoria Gayanova,1,3,2,67
Marie Hilander Gjerde,1,2,1,50
Gry Tveit Gjerdåker,6,15,10,67
Johannes Tveit Gjerdåker,13,32,21,66
Lars Gjerdåker,6,25,21,84
Nils Tveit Gjerdåker,11,34,19,56
Arve Gohn,2,5,3,60
Natasha Goonting,1,1,0,0
Joachim Willumsen Grieg,2,3,1,33
William Grimholt,7,13,4,31
Rasmus Møgster Grindheim,2,5,4,80
Kjell Arne Grini,31,88,57,65
Andreas Grumheden,3,6,0,0
Johanna Grundsell,1,2,0,0
Linn Underhaug Grythe,5,14,8,57
Eirik Sars Grøner,1,4,4,100
Andreas Grønsand,1,3,1,33
Magnus Grøterud,1,2,0,0
Fredrik Graaner,4,14,9,64
Haakon Guddingsmo,1,3,2,67
Knut Gudmundsen,13,33,14,42
Ida Guldbrandsøy,2,7,5,71
Thea Guldbrandsøy,7,20,8,40
Tore Guldbrandsøy,2,5,3,60
Lars Petter Gullaksen,5,16,12,75
Anne Gulsrud,5,10,4,40
Henrik Gulsrud,2,6,5,83
Ole Myge Gulsrud,1,5,5,100
Hedda Gurholt,2,3,2,67
Imad Hachimi,5,13,7,54
Astrid Hadland,1,4,3,75
Petter Hadland,2,5,2,40
Mikal Hafsahl,5,14,9,64
Celina Hagen,1,1,0,0
Hermela Hailemariam,1,2,1,50
Laur Haldma,1,2,0,0
Jens Halvorsen,1,2,1,50
Kjetil Halvorsen,6,16,10,63
Victoria Halvorsen,1,1,1,100
Tone Hammer,1,5,5,100
Asle Hamre,16,48,31,65
Trond Hamre,5,10,4,40
Adrian Mariero Hamzepour,9,25,10,40
Justin Hancock,1,3,2,67
Hein Haneferd,6,14,3,21
Paul Haneferd,1,2,1,50
Christoffer Hansen,4,11,6,55
Eirik Hansen,5,16,12,75
Kristin Boye Hansen,10,25,12,48
Petter Hansen,1,2,1,50
Sindre Aavitsland Hansen,1,3,0,0
Bastian Winde Harbo,1,3,2,67
Mattias Carson Harrell,1,2,1,50
Kim Hartwig,1,3,1,33
Frida Hatlestad,1,2,0,0
Kjell Hatteland,1,2,0,0
Eirik Hauge,1,1,0,0
Gert Haugland,4,10,6,60
Kari Haugland,1,2,1,50
Tor-Erik Haugaard,1,3,2,67
Aapo Ilmari Haukioja,1,3,0,0
Atle Haukland,6,12,6,50
Frederick Jens Hegelstad,1,2,1,50
Hilde Heggebø,5,15,6,40
Asbjørn Helgeland,3,12,10,83
Ragnhild Helgerud,1,2,0,0
Kajsa Helgesen,9,25,17,68
Lotta Helgesen,6,17,12,71
Johan Helgø,1,1,0,0
Johannes Helgø,11,30,21,70
Kitty Helgø,1,4,1,25
Karen Therese Helland,1,2,0,0
Ingolf Velde Helleland,3,6,3,50
Daniel Helleren,8,13,5,38
Oddvin Helleren,8,8,0,0
Ola Helleren,9,35,18,51
Aleksandra Hellich,4,8,4,50
Henrik Helliesen,2,5,3,60
Signe Helliesen,1,2,0,0
Andrew Benestad Hendicott,7,22,13,59
Catherine Hendicott,5,13,4,31
Kristina Hendicott,2,4,0,0
Jeremy Henry,2,2,0,0
Milos Herceg,8,20,11,55
Noa Hermansen,1,3,1,33
Petter Helgø Hernes,8,15,6,40
Pål Helgø Hernes,1,1,0,0
Ola Magnus Hersvik,1,4,3,75
Rune Hersvik,1,1,0,0
Hanne Aagedal Hervold,3,6,1,17
Lars Kristian Heskje,1,2,1,50
Ernst Mathias Hetland,1,1,0,0
Simon Hetland,1,2,1,50
Carl Fredrik Hjelle,11,27,16,59
Jonas Hjelleset,1,4,3,75
Tim Hjønnevåg,4,8,4,50
Maria Hjørungnes,3,9,8,89
Anne Hobberstad,1,2,0,0
Emma Sandberg van der Hoek,5,14,9,64
Rolf Hofgaard,1,2,1,50
Alexander Hogga,3,6,2,33
Karolina Hogga,4,8,4,50
Philip Hogga,2,7,6,86
Kine Lindstad Hoholm,1,2,0,0
Rikke Holand,2,5,2,40
Kristine Holen,1,2,0,0
Alexander Holm,1,2,0,0
Jan Holm,7,18,10,56
Tobias Holm,1,3,1,33
Ole Kristian Holme,1,3,0,0
Vegard Holmefjord,1,3,2,67
Harald Emil Holmer,4,5,2,40
Ida Marie Holmer,3,8,5,63
Rikhard Holmström,8,31,31,100
Julie Holte,1,1,0,0
Rene Horacek,1,3,2,67
Anita Horpestad,5,11,6,55
Lisa van der Horst,2,6,3,50
Peter Horton,11,24,11,46
Juni Tvedt Hoven,1,4,3,75
Mads Hovland,4,13,10,77
Nicolas Hovland,5,20,15,75
Vegard Howden,2,7,5,71
Line Huglen,11,27,19,70
Ole Huglen,1,4,3,75
Rune Husebø,3,13,10,77
Oddbjørg Huso,9,21,8,38
Edevard Hvide,1,2,1,50
Hans Hvide,1,1,0,0
Dorthea Faa Hviding,4,8,4,50
Leonard Faa Hviding,24,52,32,62
Eirik Hylland,1,3,2,67
Øyvind Hære,1,2,0,0
Torgeir Høien,1,2,0,0
Ingjerd Høien-Tengesdal,12,29,14,48
Erik Høyvik,3,9,6,67
Tina Høyvik,1,2,1,50
Vidar Høyvik,6,15,9,60
Bjørnar Haagenvik-Halsne,2,8,7,88
Erik Haaland,2,7,5,71
Susanne Håland,2,4,1,25
Emil Haavardtun,1,2,0,0
Simen Idsøe,5,12,6,50
Lukasz Idzik,15,52,34,65
Anders Chirico Indrebø,2,7,5,71
Johannes Irgens,5,11,5,45
Veronica Isachsen,2,5,0,0
Miles Johan Isaksen,1,2,0,0
Jonathan Israel,5,11,3,27
Øyvind Iversflaten,1,2,1,50
André Jacobsen,2,3,1,33
Vegard Jacobsen,3,7,4,57
Verner Jacobsen,1,3,0,0
Torstein Jakobsen,1,2,1,50
Mindaugas Jankus,2,4,2,50
Konrad Jarczyk,1,2,1,50
Mirko Jaster,1,1,1,100
Agnieszka Jaworska,4,9,3,33
Amir Jazavac,25,66,38,58
Emmanuel Jebutu,1,1,0,0
Emil Jensen,4,10,6,60
Erik Jensen,1,1,0,0
Fabian Jensen,13,36,17,47
Iben Jensen,2,10,8,80
Johan Tønsberg Jensen,8,27,19,70
Kasper Jensen,2,5,3,60
Kjartan Jensen,1,3,2,67
Matz Jensen,6,17,10,59
Nora Jensen,2,8,1,13
Per Jensen,1,2,0,0
Suzana Jensen,3,5,1,20
Thomas Jensen,10,18,6,33
Leif Arne Jenset,3,6,3,50
Geir Jerstad,1,2,1,50
Vilde Johannessen,1,2,1,50
Kari Johansen,9,22,9,41
Nina Andrea Johansen,1,3,0,0
Cezar Johansson,8,24,17,71
Marcus Johansson,1,1,0,0
Andreas Johnsen,1,2,0,0
Husiar Johnsen,15,22,5,23
Elias Jonassen,3,9,5,56
Marius Jonassen,1,3,1,33
Markus Jonassen,1,2,0,0
Sindre Jonassen,2,4,2,50
Svein Vidar Jonassen,4,10,6,60
Sindre Jonasson,1,2,1,50
Allen Clarence Jones,3,6,0,0
Tord Joranger,5,14,8,57
Kristin Aasgard Jordal,7,17,8,47
Lyndall Jordan,5,12,6,50
Ivan Jovic,3,9,6,67
Markus Jæger,1,2,1,50
Mathias Jæger-Pedersen,12,33,19,58
Pål Jæger-Pedersen,3,7,2,29
Ruben Jæger-Pedersen,6,15,8,53
Simen Jæger-Pedersen,6,14,8,57
Fredrik Vik Jørgensen,3,10,7,70
Henrik Jørgensen,1,2,1,50
Steinar Jørgensen,4,8,0,0
Adam Jørstad,3,8,3,38
Rune Dagsland Jåsund,1,2,0,0
Emely Fredrikke Kahrs,1,1,0,0
Ivo Kalveland,14,48,31,65
Marius Kamfjord,6,13,4,31
Benjamin Herbert Kamps,6,15,9,60
Holger Kamps,2,4,3,75
Mats Albert Kamps,15,41,23,56
Arezo Kanani,3,8,5,63
André Karlsen,1,2,0,0
Colette Karlsen,1,2,0,0
Erlend Liabø Karlsen,6,11,5,45
Sondre Karlsen,3,5,2,40
Jonas Kartum,3,12,10,83
Natasha Kassirova,1,3,2,67
Daniel Katzberg,1,1,0,0
Milano Kawai,1,2,0,0
Toru Kawai,6,20,14,70
Theodore Keiseraas,3,7,2,29
Scott Kerr,3,7,4,57
Bjørn Bue Kessel,2,6,1,17
Haakon Kessel,7,17,11,65
Tomas Bue Kessel,6,12,6,50
Alexander Kiplesund,1,2,1,50
Gustav Enggård Kirial,4,8,3,38
Trond Kittelsen,7,13,4,31
Alseit Kitzbay,1,2,0,0
Arturas Kivickas,1,2,1,50
Inger-Lise Egeland Kjetilstad,1,2,0,0
Teodor Gjerde Klaussen,1,2,0,0
Sigrun Låg Kleiv,2,4,1,25
Siri Kleivan,3,6,1,17
Anine Klepp,3,6,1,17
Damian Klinkenberg,1,2,1,50
Øyvind Klinkenberg,2,4,1,25
Lise Klungsøyr,1,1,0,0
Julia Oftedahl Knoth,11,31,14,45
Olaf Knoth,2,9,8,89
Urs Oftedahl Knoth,11,23,9,39
Herman Knudsen,8,19,10,53
Kyrre Martinius Knudsen,5,14,7,50
Glenn Kollevik,7,11,5,45
Top Kongsot,1,3,0,0
Mirza Koristovic,4,10,8,80
Vytautas Korsakas,1,4,3,75
Athanasios Kostas,15,41,24,59
Dimitris Kostopoulos,3,7,4,57
Johan Krabbe-Knudsen,1,4,2,50
Jacob Kragset,1,4,3,75
Jonas Kragset,1,2,0,0
Even Kravik,1,5,4,80
Jacob Wilhelm Krefting,1,1,0,0
Jostein Kristensen,1,1,0,0
Sindre Kjøll Kristensen,18,31,12,39
Andreas Kristiansen,11,27,13,48
Charlotte Kristiansen,1,1,0,0
Ketil Kristiansen,1,2,0,0
Peder Kristiansen,6,10,0,0
Ruben Kristiansen,2,6,2,33
Arturas Krivickas,1,2,0,0
Patryk Kucmann,1,3,0,0
Marius Kukta,3,6,2,33
Allen Kumar,4,16,13,81
Goutham Kumar,1,5,4,80
Pavan Akella Kumar,1,3,2,67
Vibeke Dyreborg Kurdahl,3,6,2,33
Caroline Kurdahl-Martinsen,2,4,0,0
Rasmus Kurdahl-Martinsen,5,14,5,36
Stian Holstad Kvaleberg,9,23,14,61
Håvard Kvalvik,1,3,1,33
Siv Åshild Kydland,11,24,8,33
Steffen Gjessen Kylevik,1,2,2,100
Hanne Kyllingstad,4,13,3,23
Dag Victor Kyvik,5,12,6,50
Lorentz Laland,3,7,4,57
Lotta Emilie Laland,1,2,1,50
Vegard Laland,1,2,0,0
Sin Man Lam,2,7,0,0
Elida Frafjord Landa,4,8,1,13
Martha Elisabeth Landa,1,2,0,0
Sigrid Landa,6,16,9,56
Siri Frafjord Landa,1,3,2,67
Trym Landa,10,24,14,58
Ylva Frafjord Landa,8,13,3,23
Haakon Helland Langeland,1,2,0,0
Cornelia Langfeldt,2,6,3,50
Trude Langfeldt,1,3,2,67
Malin Gilje Langvatn,2,4,2,50
Anna Larkina,1,1,0,0
Ole Morten Larsen,2,3,2,67
Runar Haukelid Larsen,1,1,0,0
Iren Larssen,1,3,0,0
Kjetil Lauvdal,6,15,7,47
Marie Schou Lauvland,2,4,2,50
Andreas Law,1,2,0,0
Thomas Rage Leirdal,1,2,1,50
Hanne Lovise Leknes,1,3,1,33
Magnus Leknes,1,2,0,0
Raymond Lende,2,8,7,88
Martin Lenes,2,4,1,25
Ole Tinius Stave Lepsøe,1,4,3,75
Erik Lever,2,5,1,20
Jeremy Lever,1,2,1,50
Kezhia Licardo,1,4,0,0
Kristaps Lieldiens,3,6,3,50
Grethe Lillesund,3,6,1,17
Jacob Ruud Lillesund,1,2,0,0
Henrik Lindeman,2,5,3,60
Richard Lindholm,1,2,0,0
Rune Lindø,2,7,4,57
Fabian Linge,6,16,9,56
Paula Linge,1,2,0,0
Iwona Lipski,1,1,0,0
Jan Ivar Ljosland,3,5,0,0
Mads Ljosland,4,8,4,50
Jeppe Lodding,5,10,5,50
Alexander Lomeland,8,10,5,50
Erik Zimmer Lopez,1,2,0,0
Evelina Lorisova,5,13,9,69
Arkaduisz Lukaszewicz,1,1,0,0
Rosie Lund,6,16,8,50
Thomas Vidar Lund,3,11,8,73
Benedicte Lunde,3,12,8,67
Janne Lundetræ,1,2,1,50
Leonard Peter Lundetræ,3,6,1,17
Lydia Kristine Lundetræ,5,12,5,42
Rune Magnus Lundetræ,1,2,0,0
Håkon Olai Lyche,5,13,8,62
